text,gender,freq
Mary,F,70639
Dorothy,F,35987
Betty,F,35422
Helen,F,25320
Margaret,F,21964
Ruth,F,19414
Doris,F,16510
Virginia,F,15725
Shirley,F,13315
Barbara,F,13161
Frances,F,12989
Elizabeth,F,12527
Jean,F,12511
Evelyn,F,11497
Anna,F,11215
Alice,F,10680
Patricia,F,10553
Lois,F,10505
Marie,F,10314
Irene,F,8607
Gloria,F,8534
Rose,F,8499
Martha,F,8305
Marjorie,F,8116
Norma,F,7997
Louise,F,7700
Florence,F,7644
Phyllis,F,7424
Ruby,F,7264
Catherine,F,7255
Lillian,F,7181
Eleanor,F,6960
Dolores,F,6769
Joyce,F,6685
Annie,F,6563
Gladys,F,6414
Josephine,F,6109
Edna,F,6084
Joan,F,6032
Pauline,F,6012
June,F,5736
Lorraine,F,5728
Marilyn,F,5555
Ethel,F,5486
Edith,F,5402
Grace,F,5304
Marion,F,5211
Theresa,F,5128
Hazel,F,5095
Rita,F,5084
Nancy,F,5022
Beverly,F,4932
Ann,F,4783
Jane,F,4696
Sarah,F,4557
Audrey,F,4376
Clara,F,4366
Esther,F,4327
Emma,F,4326
Wanda,F,4303
Beatrice,F,4240
Elaine,F,4109
Donna,F,3992
Willie,F,3883
Elsie,F,3805
Katherine,F,3721
Marian,F,3721
Charlotte,F,3678
Julia,F,3586
Vivian,F,3508
Gertrude,F,3506
Eva,F,3406
Laura,F,3339
Agnes,F,3337
Kathleen,F,3266
Ida,F,3205
Jeanne,F,3159
Rosemary,F,3153
Vera,F,2940
Kathryn,F,2934
Anne,F,2930
Eileen,F,2928
Ellen,F,2867
Jessie,F,2858
Peggy,F,2857
Alma,F,2847
Ella,F,2842
Carolyn,F,2804
Bonnie,F,2796
Viola,F,2769
Pearl,F,2718
Violet,F,2694
Carol,F,2644
Maria,F,2593
Billie,F,2550
Myrtle,F,2549
Janet,F,2544
Lucy,F,2542
Jacqueline,F,2447
Christine,F,2347
Sylvia,F,2347
Geneva,F,2263
Georgia,F,2254
Roberta,F,2231
Stella,F,2111
Rosa,F,2109
Mae,F,2073
Genevieve,F,2033
Sara,F,1994
Lena,F,1985
Harriet,F,1965
Mabel,F,1955
Claire,F,1836
Naomi,F,1824
Dora,F,1789
Carrie,F,1788
Alberta,F,1706
Marguerite,F,1696
Hilda,F,1669
Emily,F,1656
Sally,F,1631
Anita,F,1629
Blanche,F,1568
Rosie,F,1561
Lola,F,1531
Constance,F,1520
Cora,F,1493
Janice,F,1468
Miriam,F,1377
Madeline,F,1375
Ada,F,1346
Flora,F,1302
Rachel,F,1286
Rebecca,F,1260
Daisy,F,1242
Teresa,F,1211
Caroline,F,1167
Joanne,F,1158
Joy,F,1126
Susie,F,1112
Olga,F,1101
Faye,F,1093
Maggie,F,1089
Nora,F,1079
Lila,F,1060
Nina,F,1057
Iris,F,1021
Carmen,F,1019
Yvonne,F,1016
Jo,F,974
Regina,F,959
Victoria,F,959
Della,F,946
Sadie,F,946
Angelina,F,899
Henrietta,F,898
Katie,F,885
Sophie,F,883
Olive,F,878
Lydia,F,876
Susan,F,868
Annette,F,782
Veronica,F,777
Jewel,F,775
Amelia,F,754
May,F,744
Connie,F,740
Isabel,F,729
Adele,F,714
Dorothea,F,707
Sue,F,679
Fay,F,665
Natalie,F,659
Cecilia,F,654
Judith,F,622
Celia,F,607
Angela,F,602
Paula,F,602
Isabelle,F,570
Annabelle,F,567
Francis,F,565
Jimmie,F,565
Lizzie,F,562
Nell,F,562
Marcia,F,538
Myra,F,535
Linda,F,516
Suzanne,F,509
Frankie,F,508
Olivia,F,499
Lee,F,490
Gracie,F,489
Lou,F,489
Jackie,F,451
Amy,F,446
John,F,440
Patty,F,437
Cynthia,F,433
Matilda,F,419
Guadalupe,F,418
Robert,F,411
Josie,F,409
Pat,F,407
James,F,389
Mona,F,376
Dixie,F,372
Eddie,F,368
Lily,F,365
Claudia,F,361
Aurora,F,360
Odessa,F,359
Renee,F,358
Robbie,F,354
Diana,F,351
Dolly,F,350
Hannah,F,347
Leah,F,345
Christina,F,342
Hope,F,338
Millie,F,333
Polly,F,332
Allie,F,329
William,F,320
Beth,F,310
Alicia,F,308
Charles,F,303
Iona,F,300
Judy,F,295
Mercedes,F,291
Helena,F,287
Eliza,F,286
Betsy,F,283
Lilly,F,283
Adelaide,F,281
Kay,F,267
Marianne,F,267
Callie,F,265
Queen,F,263
Molly,F,258
Jerry,F,254
George,F,248
Gene,F,246
Georgie,F,245
Maureen,F,243
Elena,F,242
Johanna,F,242
Angie,F,241
Clare,F,241
Freddie,F,241
Sophia,F,240
Bertie,F,238
Joanna,F,238
Amanda,F,234
Sheila,F,232
Joe,F,231
Laurel,F,223
Jenny,F,222
Sonia,F,218
Faith,F,216
Carole,F,213
Sandra,F,207
Madeleine,F,202
Charlie,F,201
Julie,F,199
Petra,F,197
Valerie,F,195
Dawn,F,194
Monica,F,189
Gail,F,186
Lucia,F,186
Rae,F,183
Augusta,F,182
Isabella,F,182
Bobby,F,178
Elisabeth,F,177
Phoebe,F,169
Joseph,F,167
Fanny,F,166
Terry,F,162
Richard,F,161
Alpha,F,159
Diane,F,159
Billy,F,157
Elise,F,157
Louisa,F,153
Kate,F,151
Tina,F,151
Gwen,F,148
Donald,F,144
Gretchen,F,142
Ava,F,141
Juliette,F,141
Camille,F,138
Elsa,F,138
Roma,F,137
Marvel,F,134
Agatha,F,133
Ursula,F,131
Lynn,F,128
Leslie,F,126
Mina,F,126
Stephanie,F,126
Carolina,F,125
Emilia,F,123
Una,F,123
Belle,F,120
Jayne,F,118
Sharon,F,118
Cecil,F,117
Kitty,F,117
Leone,F,117
Thomas,F,116
Lulu,F,114
Carmel,F,113
Edward,F,112
Ivy,F,112
Madonna,F,112
Magdalena,F,112
Andrea,F,111
Cassie,F,111
Easter,F,110
Nan,F,110
Celeste,F,109
Maud,F,109
Frank,F,108
Ray,F,108
Era,F,107
Henry,F,105
Paul,F,102
Bethel,F,99
Daphne,F,99
Harold,F,99
Ira,F,97
Libby,F,93
Meredith,F,93
Walter,F,93
Raymond,F,92
Anastasia,F,91
Crystal,F,91
Deborah,F,91
Bella,F,90
Mandy,F,90
Martina,F,90
Verona,F,90
Ana,F,89
Dale,F,89
Clyde,F,87
Eugene,F,85
Gerry,F,85
Palma,F,85
Dana,F,84
Mickey,F,84
Albert,F,82
Arthur,F,82
Carla,F,82
Eve,F,82
Gay,F,82
Jack,F,82
Vita,F,81
Kenneth,F,80
Natalia,F,79
Catalina,F,78
Denise,F,78
Nova,F,77
Florida,F,76
Patti,F,75
Santa,F,71
Ivory,F,70
Dean,F,69
Lea,F,69
Roy,F,69
Carroll,F,68
Juliet,F,68
Louis,F,68
