text,gender,freq
John,M,6900
William,M,5990
James,M,4735
George,M,3609
Charles,M,3049
Joseph,M,2766
Robert,M,2543
Frank,M,2402
Edward,M,1917
Henry,M,1870
Thomas,M,1820
Walter,M,1718
Harry,M,1594
Arthur,M,1329
Albert,M,1317
Willie,M,1294
Clarence,M,1196
Fred,M,1133
Paul,M,924
Roy,M,917
Harold,M,915
Raymond,M,888
Earl,M,818
Carl,M,817
Louis,M,797
Richard,M,784
Joe,M,756
Ernest,M,691
Ralph,M,682
David,M,672
Charlie,M,654
Jack,M,645
Samuel,M,628
Howard,M,584
Herbert,M,573
Francis,M,543
Lawrence,M,535
Elmer,M,520
Alfred,M,506
Andrew,M,479
Sam,M,479
Leo,M,456
Theodore,M,450
Eugene,M,445
Lee,M,424
Floyd,M,423
Oscar,M,422
Daniel,M,416
Jesse,M,411
Russell,M,395
Herman,M,393
Michael,M,384
Will,M,364
Leonard,M,362
Clyde,M,356
Benjamin,M,343
Peter,M,343
Claude,M,341
Ray,M,338
Frederick,M,336
Lester,M,332
Anthony,M,323
Lewis,M,309
Martin,M,304
Edwin,M,299
Eddie,M,296
Tom,M,291
Lloyd,M,285
Clifford,M,282
Cecil,M,278
Edgar,M,271
Leroy,M,268
Ben,M,259
Homer,M,257
Chester,M,253
Harvey,M,253
Donald,M,250
Kenneth,M,246
Luther,M,244
Bernard,M,242
Jim,M,239
Stanley,M,239
Norman,M,238
Philip,M,232
Jessie,M,231
Everett,M,218
Leon,M,208
Allen,M,199
Leslie,M,198
Milton,M,197
Hugh,M,192
Oliver,M,187
Patrick,M,181
Glenn,M,180
Alvin,M,179
Horace,M,178
Melvin,M,176
Jacob,M,172
Guy,M,170
Victor,M,169
Julius,M,168
Alexander,M,162
Ed,M,162
Archie,M,161
Maurice,M,160
Marion,M,159
Charley,M,158
Stephen,M,158
Virgil,M,158
Otto,M,156
Manuel,M,150
Warren,M,149
Morris,M,146
Wesley,M,146
Marvin,M,145
Ira,M,142
Hubert,M,140
Alex,M,138
Dewey,M,137
Willard,M,136
Sidney,M,134
Gerald,M,133
Isaac,M,133
Wallace,M,132
Nathan,M,131
Vincent,M,131
Gilbert,M,129
Vernon,M,129
Bert,M,128
Jose,M,127
Otis,M,127
Emil,M,122
Rufus,M,121
Percy,M,120
Sylvester,M,120
Dan,M,117
August,M,116
Jerry,M,116
Curtis,M,114
Mack,M,114
Roland,M,113
Arnold,M,110
Max,M,110
Willis,M,106
Dave,M,105
Glen,M,105
Bill,M,104
Gordon,M,103
Clifton,M,101
Jimmie,M,99
Calvin,M,98
Mike,M,98
Nelson,M,97
Jay,M,96
Edmund,M,95
Franklin,M,92
Mark,M,92
Nathaniel,M,92
Matthew,M,90
Roosevelt,M,90
Nicholas,M,88
Perry,M,87
Rudolph,M,87
Wayne,M,87
Jess,M,85
Amos,M,83
Douglas,M,83
Aaron,M,80
Irving,M,80
Owen,M,80
Dennis,M,79
Elijah,M,79
Jake,M,79
Pete,M,79
Juan,M,78
Phillip,M,78
Preston,M,78
Clinton,M,76
Cornelius,M,76
Steve,M,76
Ellis,M,74
Forrest,M,73
Clayton,M,72
Ross,M,72
Simon,M,72
Adam,M,71
Felix,M,70
Gus,M,70
Austin,M,68
Jerome,M,68
Reuben,M,68
Marshall,M,67
Julian,M,66
Bruce,M,65
Sherman,M,64
Ted,M,64
Wiley,M,64
Erwin,M,63
Harley,M,63
Abraham,M,62
Monroe,M,62
Timothy,M,62
Tony,M,62
Wade,M,62
Ivan,M,60
Laurence,M,60
Lyle,M,60
Roger,M,60
