text,gender,freq
John,M,8060
William,M,6495
James,M,6042
George,M,4256
Charles,M,3608
Robert,M,3410
Joseph,M,3302
Frank,M,2837
Edward,M,2366
Thomas,M,2135
Henry,M,2126
Walter,M,1902
Willie,M,1782
Harry,M,1619
Albert,M,1532
Arthur,M,1505
Clarence,M,1377
Fred,M,1284
Paul,M,1262
Harold,M,1258
Raymond,M,1159
Richard,M,1033
Joe,M,1024
Roy,M,1016
Louis,M,981
Carl,M,959
Ralph,M,938
Jack,M,907
Earl,M,904
Samuel,M,856
Ernest,M,845
David,M,838
Theodore,M,834
Charlie,M,801
Howard,M,735
Francis,M,685
Herbert,M,681
Lawrence,M,670
Andrew,M,620
Sam,M,620
Elmer,M,602
Eugene,M,593
Alfred,M,591
Floyd,M,523
Michael,M,513
Leo,M,512
Leonard,M,495
Anthony,M,490
Lee,M,486
Daniel,M,484
Herman,M,475
Clyde,M,474
Kenneth,M,474
Jesse,M,443
Leroy,M,441
Oscar,M,436
Lester,M,432
Russell,M,432
Donald,M,426
Ray,M,424
Clifford,M,420
Peter,M,409
Claude,M,399
Chester,M,388
Lewis,M,384
Stanley,M,384
Frederick,M,381
Benjamin,M,379
Lloyd,M,369
Edwin,M,357
Norman,M,350
Cecil,M,347
Eddie,M,346
Jessie,M,338
Martin,M,332
Homer,M,318
Tom,M,317
Edgar,M,315
Luther,M,308
Milton,M,299
Bernard,M,292
Melvin,M,291
Ben,M,290
Harvey,M,286
Will,M,286
Leon,M,274
Allen,M,272
Everett,M,270
Victor,M,268
Roosevelt,M,264
Alvin,M,258
Stephen,M,246
Leslie,M,237
Jim,M,236
Philip,M,234
Virgil,M,226
Jacob,M,220
Otis,M,216
Marvin,M,215
Horace,M,212
Oliver,M,211
Alexander,M,210
Vernon,M,208
Guy,M,203
Maurice,M,202
Hugh,M,200
Jose,M,200
Sidney,M,196
Patrick,M,193
Ed,M,190
Julius,M,190
Gerald,M,189
Glenn,M,189
Morris,M,188
Archie,M,184
Gilbert,M,183
Curtis,M,182
Willard,M,180
Jerry,M,177
Vincent,M,176
Wesley,M,174
Otto,M,172
Warren,M,172
Marion,M,170
Ira,M,169
Percy,M,169
Charley,M,168
Nathan,M,168
Alex,M,166
Gordon,M,165
Hubert,M,163
Wallace,M,162
Manuel,M,157
Rufus,M,157
Dan,M,152
Mack,M,151
Irving,M,148
Bill,M,147
Isaac,M,147
Arnold,M,144
Roland,M,143
Calvin,M,141
Max,M,140
Dave,M,137
Jimmie,M,136
Willis,M,136
Bert,M,134
Rudolph,M,132
Glen,M,128
Phillip,M,127
Nelson,M,126
Steve,M,126
Sylvester,M,126
Emil,M,122
Clifton,M,121
Marshall,M,119
Mike,M,117
Nathaniel,M,117
Felix,M,115
