text,gender,freq
Mary,F,70591
Dorothy,F,38570
Betty,F,32813
Helen,F,29172
Margaret,F,24463
Ruth,F,22248
Virginia,F,17489
Doris,F,16074
Elizabeth,F,13935
Frances,F,13825
Evelyn,F,12505
Anna,F,12250
Jean,F,11597
Alice,F,11574
Marie,F,10930
Shirley,F,10513
Lois,F,9573
Irene,F,9440
Gloria,F,9380
Marjorie,F,9307
Barbara,F,9155
Martha,F,8766
Florence,F,8585
Lillian,F,8350
Rose,F,8278
Louise,F,8273
Patricia,F,8095
Catherine,F,7867
Ruby,F,7844
Eleanor,F,7724
Annie,F,7351
Gladys,F,7232
Norma,F,6942
Josephine,F,6809
Edna,F,6782
Pauline,F,6729
June,F,6649
Phyllis,F,6486
Edith,F,6275
Ethel,F,6175
Grace,F,5984
Hazel,F,5779
Marion,F,5576
Rita,F,5323
Beatrice,F,4991
Lorraine,F,4984
Ann,F,4935
Jane,F,4881
Clara,F,4775
Esther,F,4725
Emma,F,4713
Sarah,F,4688
Joyce,F,4365
Nancy,F,4325
Katherine,F,4240
Elsie,F,4146
Dolores,F,4145
Julia,F,4047
Joan,F,4030
Marian,F,3979
Willie,F,3946
Agnes,F,3912
Gertrude,F,3892
Eva,F,3857
Wanda,F,3805
Elaine,F,3776
Laura,F,3588
Vivian,F,3576
Charlotte,F,3551
Audrey,F,3542
Theresa,F,3516
Kathleen,F,3503
Ida,F,3489
Marilyn,F,3420
Viola,F,3336
Anne,F,3320
Vera,F,3282
Kathryn,F,3263
Jeanne,F,3225
Pearl,F,3213
Violet,F,3031
Ella,F,3006
Alma,F,2997
Myrtle,F,2980
Eileen,F,2963
Jessie,F,2951
Ellen,F,2794
Lucy,F,2765
Rosemary,F,2755
Beverly,F,2668
Sylvia,F,2537
Bonnie,F,2533
Geneva,F,2469
Donna,F,2429
Janet,F,2429
Georgia,F,2410
Genevieve,F,2404
Stella,F,2402
Maria,F,2360
Mae,F,2332
Peggy,F,2321
Mabel,F,2293
Carol,F,2286
Christine,F,2252
Lena,F,2235
Rosa,F,2230
Carolyn,F,2189
Harriet,F,2069
Marguerite,F,2061
Sara,F,2032
Carrie,F,2024
Jacqueline,F,1991
Dora,F,1945
Blanche,F,1893
Alberta,F,1843
Billie,F,1827
Hilda,F,1824
Naomi,F,1768
Emily,F,1767
Anita,F,1764
Roberta,F,1759
Cora,F,1680
Constance,F,1654
Miriam,F,1600
Rosie,F,1516
Janice,F,1510
Madeline,F,1506
Claire,F,1503
Ada,F,1500
Lola,F,1470
Rachel,F,1439
Flora,F,1404
Daisy,F,1400
Nora,F,1317
Susie,F,1311
Sally,F,1309
Lila,F,1248
Maggie,F,1215
Rebecca,F,1204
Nina,F,1197
Caroline,F,1193
Olga,F,1173
Sophie,F,1102
Regina,F,1077
Henrietta,F,1059
Sadie,F,1050
Victoria,F,1045
Angelina,F,1028
Della,F,1028
Faye,F,1011
Katie,F,1003
Olive,F,975
Yvonne,F,964
Teresa,F,955
Lydia,F,954
Iris,F,948
Carmen,F,939
Isabel,F,900
Dorothea,F,890
Amelia,F,889
Susan,F,862
May,F,849
Annette,F,838
Veronica,F,826
Jewel,F,812
Joy,F,772
Adele,F,738
Isabelle,F,709
Natalie,F,708
Cecilia,F,705
Connie,F,672
Sue,F,672
Celia,F,661
Francis,F,660
Joanne,F,636
Lizzie,F,636
Jo,F,635
Nell,F,627
Fay,F,606
Annabelle,F,573
Gracie,F,573
Amy,F,560
Angela,F,560
Jimmie,F,560
Frankie,F,555
Judith,F,554
Lee,F,531
Olivia,F,527
Myra,F,502
Matilda,F,474
Paula,F,464
Marcia,F,448
Leah,F,444
Linda,F,438
Odessa,F,437
Suzanne,F,414
Josie,F,409
Lou,F,395
Dolly,F,388
Guadalupe,F,385
Hannah,F,381
Claudia,F,376
Eddie,F,376
Christina,F,375
Gene,F,374
Millie,F,371
John,F,366
James,F,365
Lily,F,363
Allie,F,358
Helena,F,351
Robert,F,350
Aurora,F,341
Cynthia,F,340
Dixie,F,340
Hope,F,339
Eliza,F,335
Robbie,F,332
Mona,F,322
Polly,F,320
Beth,F,315
Callie,F,313
Judy,F,312
Amanda,F,310
Adelaide,F,308
Diana,F,304
Mercedes,F,295
Iona,F,294
Georgie,F,293
William,F,289
Sophia,F,288
Betsy,F,284
Lilly,F,283
Patty,F,270
Jackie,F,267
Johanna,F,267
Clare,F,254
Bertie,F,253
Queen,F,252
Kay,F,248
Marianne,F,245
Molly,F,241
Joanna,F,236
Jerry,F,232
Alicia,F,228
Faith,F,225
Madeleine,F,223
Rae,F,223
Carole,F,218
Julie,F,218
Charles,F,216
Augusta,F,214
Freddie,F,214
Renee,F,214
Sheila,F,214
Elena,F,213
Angie,F,209
George,F,207
Isabella,F,205
Jenny,F,201
Louisa,F,200
Monica,F,198
Pat,F,198
Jayne,F,195
Phoebe,F,192
Petra,F,189
Fanny,F,188
Elisabeth,F,184
Charlie,F,182
Sandra,F,177
Kate,F,173
Una,F,173
Agatha,F,168
Stephanie,F,165
Ava,F,164
Gail,F,163
Joe,F,158
Maureen,F,157
Elise,F,154
Lucia,F,154
Cecil,F,152
Valerie,F,151
Camille,F,150
Andrea,F,148
Leone,F,148
Terry,F,148
Carolina,F,145
Celeste,F,144
Gretchen,F,144
Ursula,F,144
Alpha,F,143
Elsa,F,141
Roma,F,141
Belle,F,140
Juliette,F,140
Carmel,F,139
Leslie,F,139
Tina,F,136
Laurel,F,135
Bella,F,133
Easter,F,133
Joseph,F,132
Dawn,F,130
Emilia,F,130
Maud,F,128
Cassie,F,127
Kitty,F,127
Billy,F,126
Ivy,F,124
Mina,F,124
Crystal,F,122
Diane,F,122
Era,F,122
Daphne,F,120
Madonna,F,119
Nan,F,115
Lulu,F,114
